Start,End,Cycle,Line,Equipment,Part,Parameter,Expected_value_min,Expected_value_max,Value,Date
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Raw Material Bin,Husk Feed Screw,Vibrations,5,15,12.6,NULL
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Raw Material Bin,Raw Material Chamber,Temperature,100,110,102.67,NULL
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Raw Material Bin,2nd Stage Feed Screw,Temperature,100,110,106.9,NULL
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Raw Material Bin,2nd Stage Feed Screw,Vibrations,5,15,12.61,NULL
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Steam Cyclone,Husk Inlet HPRV,Steam Inlet Temp,147,153,152.86,NULL
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Steam Cyclone,Husk Outlet HPRV,Steam Outlet Temp,136,145,139.3,NULL
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Pressure,2.7,2.7,2.82,NULL
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Inlet Temp,147,153,152.49,NULL
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Outlet Temp,136,145,145.66,NULL
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Velocity,30,30,30.12,NULL
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Steam Sep Cyclone,Steam Sep Blower,Steam Sep Line Temp,115,125,120.06,NULL
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Steam Sep Cyclone,Steam Sep Rotary Valve,Steam Sep Line Temp,115,125,115.27,NULL
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Cooling Cyclone,Cooling Rotary Valve,Cooling Air,63,125,97.85,NULL
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Cooling Cyclone,Cooling Blower,Cooling Air,63,125,121.52,NULL
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Product Screener,Screening Rotary Valve,Temperature,100,110,106.29,NULL
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Product Screener,Screening Rotary Valve,Vibrations,5,15,7.24,NULL
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Product Screener,Transfer Blower,Transfer Cool Air Temp,40,125,114.17,NULL
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Super Heater,Steam Circulation Blower 1,Steam Sep Line Temp,115,125,122,NULL
10:00:00 AM,12:00:00 PM,2,Sanitization Line 1,Super Heater,Steam Circulation Blower 2,Steam Sep Line Temp,115,125,120.99,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Raw Material Bin,Raw Material Rotary Valve,Vibrations,5,15,13.43,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Raw Material Bin,Husk Feed Screw,Feed Rate,1000,2000,2001.6,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Raw Material Bin,Husk Feed Screw,Vibrations,5,15,9.28,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Raw Material Bin,Raw Material Chamber,Temperature,100,110,106.4,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Raw Material Bin,2nd Stage Feed Screw,Temperature,100,110,109.3,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Raw Material Bin,2nd Stage Feed Screw,Vibrations,5,15,7.13,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Steam Cyclone,Husk Inlet HPRV,Steam Inlet Temp,147,153,151.41,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Steam Cyclone,Husk Outlet HPRV,Steam Outlet Temp,136,145,141.03,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Pressure,2.7,2.7,2.57,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Inlet Temp,147,153,148.39,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Outlet Temp,136,145,146.96,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Velocity,30,30,30.13,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Steam Sep Cyclone,Steam Sep Blower,Steam Sep Line Temp,115,125,122.7,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Steam Sep Cyclone,Steam Sep Rotary Valve,Steam Sep Line Temp,115,125,120.84,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Cooling Cyclone,Cooling Rotary Valve,Cooling Air,63,125,80.98,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Cooling Cyclone,Cooling Blower,Cooling Air,63,125,106.98,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Product Screener,Screening Rotary Valve,Temperature,100,110,108.44,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Product Screener,Screening Rotary Valve,Vibrations,5,15,14.12,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Product Screener,Transfer Blower,Transfer Cool Air Temp,40,125,91.96,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Super Heater,Steam Circulation Blower 1,Steam Sep Line Temp,115,125,115.92,NULL
12:00:00 PM,2:00:00 PM,3,Sanitization Line 1,Super Heater,Steam Circulation Blower 2,Steam Sep Line Temp,115,125,119.68,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Raw Material Bin,Raw Material Rotary Valve,Vibrations,5,15,7.16,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Raw Material Bin,Husk Feed Screw,Feed Rate,1000,2000,1282.47,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Raw Material Bin,Husk Feed Screw,Vibrations,5,15,6.88,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Raw Material Bin,Raw Material Chamber,Temperature,100,110,101.64,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Raw Material Bin,2nd Stage Feed Screw,Temperature,100,110,105.98,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Raw Material Bin,2nd Stage Feed Screw,Vibrations,5,15,8.8,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Steam Cyclone,Husk Inlet HPRV,Steam Inlet Temp,147,153,151.47,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Steam Cyclone,Husk Outlet HPRV,Steam Outlet Temp,136,145,144.05,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Pressure,2.7,2.7,2.84,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Inlet Temp,147,153,149.38,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Outlet Temp,136,145,141.72,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Velocity,30,30,29.86,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Steam Sep Cyclone,Steam Sep Blower,Steam Sep Line Temp,115,125,124.03,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Steam Sep Cyclone,Steam Sep Rotary Valve,Steam Sep Line Temp,115,125,115.84,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Cooling Cyclone,Cooling Rotary Valve,Cooling Air,63,125,94.04,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Cooling Cyclone,Cooling Blower,Cooling Air,63,125,63.65,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Product Screener,Screening Rotary Valve,Temperature,100,110,106.31,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Product Screener,Screening Rotary Valve,Vibrations,5,15,14.22,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Product Screener,Transfer Blower,Transfer Cool Air Temp,40,125,60.72,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Super Heater,Steam Circulation Blower 1,Steam Sep Line Temp,115,125,116.78,NULL
2:00:00 PM,4:00:00 PM,4,Sanitization Line 1,Super Heater,Steam Circulation Blower 2,Steam Sep Line Temp,115,125,123.75,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Raw Material Bin,Raw Material Rotary Valve,Vibrations,5,15,12.1,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Raw Material Bin,Husk Feed Screw,Feed Rate,1000,2000,1422.52,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Raw Material Bin,Husk Feed Screw,Vibrations,5,15,3.68,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Raw Material Bin,Raw Material Chamber,Temperature,100,110,104.09,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Raw Material Bin,2nd Stage Feed Screw,Temperature,100,110,100.02,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Raw Material Bin,2nd Stage Feed Screw,Vibrations,5,15,14.08,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Steam Cyclone,Husk Inlet HPRV,Steam Inlet Temp,147,153,149.03,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Steam Cyclone,Husk Outlet HPRV,Steam Outlet Temp,136,145,141.8,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Pressure,2.7,2.7,2.55,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Inlet Temp,147,153,147.53,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Outlet Temp,136,145,133.93,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Velocity,30,30,29.85,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Steam Sep Cyclone,Steam Sep Blower,Steam Sep Line Temp,115,125,124.86,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Steam Sep Cyclone,Steam Sep Rotary Valve,Steam Sep Line Temp,115,125,120.33,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Cooling Cyclone,Cooling Rotary Valve,Cooling Air,63,125,72.38,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Cooling Cyclone,Cooling Blower,Cooling Air,63,125,72.02,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Product Screener,Screening Rotary Valve,Temperature,100,110,109.62,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Product Screener,Screening Rotary Valve,Vibrations,5,15,6.74,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Product Screener,Transfer Blower,Transfer Cool Air Temp,40,125,41.81,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Super Heater,Steam Circulation Blower 1,Steam Sep Line Temp,115,125,121.34,NULL
4:00:00 PM,6:00:00 PM,5,Sanitization Line 1,Super Heater,Steam Circulation Blower 2,Steam Sep Line Temp,115,125,124.09,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Raw Material Bin,Raw Material Rotary Valve,Vibrations,5,15,11.85,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Raw Material Bin,Husk Feed Screw,Feed Rate,1000,2000,997.75,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Raw Material Bin,Husk Feed Screw,Vibrations,5,15,10.62,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Raw Material Bin,Raw Material Chamber,Temperature,100,110,105.05,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Raw Material Bin,2nd Stage Feed Screw,Temperature,100,110,101.58,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Raw Material Bin,2nd Stage Feed Screw,Vibrations,5,15,7.48,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Steam Cyclone,Husk Inlet HPRV,Steam Inlet Temp,147,153,149.14,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Steam Cyclone,Husk Outlet HPRV,Steam Outlet Temp,136,145,136.68,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Pressure,2.7,2.7,2.86,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Inlet Temp,147,153,151.86,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Outlet Temp,136,145,147.97,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Velocity,30,30,30.16,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Steam Sep Cyclone,Steam Sep Blower,Steam Sep Line Temp,115,125,115.51,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Steam Sep Cyclone,Steam Sep Rotary Valve,Steam Sep Line Temp,115,125,115.38,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Cooling Cyclone,Cooling Rotary Valve,Cooling Air,63,125,110.08,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Cooling Cyclone,Cooling Blower,Cooling Air,63,125,75.44,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Product Screener,Screening Rotary Valve,Temperature,100,110,103.54,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Product Screener,Screening Rotary Valve,Vibrations,5,15,11.76,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Product Screener,Transfer Blower,Transfer Cool Air Temp,40,125,107.14,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Super Heater,Steam Circulation Blower 1,Steam Sep Line Temp,115,125,115.18,NULL
6:00:00 PM,8:00:00 PM,6,Sanitization Line 1,Super Heater,Steam Circulation Blower 2,Steam Sep Line Temp,115,125,115.86,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Raw Material Bin,Raw Material Rotary Valve,Vibrations,5,15,6.43,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Raw Material Bin,Husk Feed Screw,Feed Rate,1000,2000,1765.46,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Raw Material Bin,Husk Feed Screw,Vibrations,5,15,16.42,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Raw Material Bin,Raw Material Chamber,Temperature,100,110,103.41,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Raw Material Bin,2nd Stage Feed Screw,Temperature,100,110,106.17,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Raw Material Bin,2nd Stage Feed Screw,Vibrations,5,15,14.03,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Steam Cyclone,Husk Inlet HPRV,Steam Inlet Temp,147,153,151.58,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Steam Cyclone,Husk Outlet HPRV,Steam Outlet Temp,136,145,139.68,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Pressure,2.7,2.7,2.87,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Inlet Temp,147,153,145.46,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Outlet Temp,136,145,139.69,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Velocity,30,30,30.17,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Steam Sep Cyclone,Steam Sep Blower,Steam Sep Line Temp,115,125,115.42,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Steam Sep Cyclone,Steam Sep Rotary Valve,Steam Sep Line Temp,115,125,121.2,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Cooling Cyclone,Cooling Rotary Valve,Cooling Air,63,125,119.37,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Cooling Cyclone,Cooling Blower,Cooling Air,63,125,71.19,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Product Screener,Screening Rotary Valve,Temperature,100,110,101.31,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Product Screener,Screening Rotary Valve,Vibrations,5,15,5.06,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Product Screener,Transfer Blower,Transfer Cool Air Temp,40,125,85.28,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Super Heater,Steam Circulation Blower 1,Steam Sep Line Temp,115,125,122.89,NULL
8:00:00 PM,10:00:00 PM,7,Sanitization Line 1,Super Heater,Steam Circulation Blower 2,Steam Sep Line Temp,115,125,117.12,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Raw Material Bin,Raw Material Rotary Valve,Vibrations,5,15,6.78,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Raw Material Bin,Husk Feed Screw,Feed Rate,1000,2000,1206.91,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Raw Material Bin,Husk Feed Screw,Vibrations,5,15,16.27,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Raw Material Bin,Raw Material Chamber,Temperature,100,110,105.5,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Raw Material Bin,2nd Stage Feed Screw,Temperature,100,110,107.89,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Raw Material Bin,2nd Stage Feed Screw,Vibrations,5,15,13.47,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Steam Cyclone,Husk Inlet HPRV,Steam Inlet Temp,147,153,149.65,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Steam Cyclone,Husk Outlet HPRV,Steam Outlet Temp,136,145,138.03,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Pressure,2.7,2.7,2.52,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Inlet Temp,147,153,147.74,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Outlet Temp,136,145,136.3,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Velocity,30,30,29.82,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Steam Sep Cyclone,Steam Sep Blower,Steam Sep Line Temp,115,125,115.5,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Steam Sep Cyclone,Steam Sep Rotary Valve,Steam Sep Line Temp,115,125,118.58,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Cooling Cyclone,Cooling Rotary Valve,Cooling Air,63,125,91.24,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Cooling Cyclone,Cooling Blower,Cooling Air,63,125,116.22,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Product Screener,Screening Rotary Valve,Temperature,100,110,107.43,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Product Screener,Screening Rotary Valve,Vibrations,5,15,10.14,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Product Screener,Transfer Blower,Transfer Cool Air Temp,40,125,103.99,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Super Heater,Steam Circulation Blower 1,Steam Sep Line Temp,115,125,121.27,NULL
10:00:00 PM,12:00:00 AM,8,Sanitization Line 1,Super Heater,Steam Circulation Blower 2,Steam Sep Line Temp,115,125,118.39,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Raw Material Bin,Raw Material Rotary Valve,Vibrations,5,15,9.94,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Raw Material Bin,Husk Feed Screw,Feed Rate,1000,2000,2001.27,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Raw Material Bin,Husk Feed Screw,Vibrations,5,15,14.47,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Raw Material Bin,Raw Material Chamber,Temperature,100,110,101.43,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Raw Material Bin,2nd Stage Feed Screw,Temperature,100,110,106.03,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Raw Material Bin,2nd Stage Feed Screw,Vibrations,5,15,8.27,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Steam Cyclone,Husk Inlet HPRV,Steam Inlet Temp,147,153,147.58,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Steam Cyclone,Husk Outlet HPRV,Steam Outlet Temp,136,145,144.6,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Pressure,2.7,2.7,2.51,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Inlet Temp,147,153,154.64,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Outlet Temp,136,145,144.38,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Steam Cyclone,Steam Cyclone Chamber,Steam Velocity,30,30,29.81,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Steam Sep Cyclone,Steam Sep Blower,Steam Sep Line Temp,115,125,119.92,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Steam Sep Cyclone,Steam Sep Rotary Valve,Steam Sep Line Temp,115,125,115.32,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Cooling Cyclone,Cooling Rotary Valve,Cooling Air,63,125,84.83,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Cooling Cyclone,Cooling Blower,Cooling Air,63,125,80.5,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Product Screener,Screening Rotary Valve,Temperature,100,110,100.64,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Product Screener,Screening Rotary Valve,Vibrations,5,15,9.48,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Product Screener,Transfer Blower,Transfer Cool Air Temp,40,125,111.2,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Super Heater,Steam Circulation Blower 1,Steam Sep Line Temp,115,125,123.28,NULL
12:00:00 AM,2:00:00 AM,9,Sanitization Line 1,Super Heater,Steam Circulation Blower 2,Steam Sep Line Temp,115,125,119.01,NULL
2:00:00 AM,4:00:00 AM,10,Sanitization Line 1,Raw Material Bin,Raw Material Rotary Valve,Vibrations,5,15,8.64,NULL
2:00:00 AM,4:00:00 AM,10,Sanitization Line 1,Raw Material Bin,Husk Feed Screw,Feed Rate,1000,2000,1285.67,NULL
2:00:00 AM,4:00:00 AM,10,Sanitization Line 1,Raw Material Bin,Husk Feed Screw,Vibrations,5,15,8.82,NULL
2:00:00 AM,4:00:00 AM,10,Sanitization Line 1,Raw Material Bin,Raw Material Chamber,Temperature,100,110,106.1,NULL
2:00:00 AM,4:00:00 AM,10,Sanitization Line 1,Raw Material Bin,2nd Stage Feed Screw,Temperature,100,110,105.11,NULL
2:00:00 AM,4:00:00 AM,10,Sanitization Line 1,Raw Material Bin,2nd Stage Feed Screw,Vibrations,5,15,9.54,NULL
