equipment_id,line,component,part,age,maintenance_count,cost,risk_impact,labor_hours,failure_probability
EQUIP_0071,Sanitization Line 5,Steam Cyclone,Steam Cyclone Chamber,13,6,6390,3.73,14,0.964
EQUIP_0072,Sanitization Line 5,Steam Cyclone,Steam Cyclone tube and Piping,5,0,5651,3.21,7,0.676
EQUIP_0073,Sanitization Line 5,Steam Sep Cyclone,Steam Sep Blower,1,0,4802,2.22,8,0.547
EQUIP_0074,Sanitization Line 5,Steam Sep Cyclone,Steam Sep Rotary Valve,6,2,5070,1.95,8,0.647
EQUIP_0075,Sanitization Line 5,Cooling Cyclone,Cooling Rotary Valve,2,0,4461,1.56,8,0.439
EQUIP_0076,Sanitization Line 5,Cooling Cyclone,Cooling Blower,5,1,5129,2.07,8,0.484
EQUIP_0077,Sanitization Line 5,Product Screener,Screening Rotary Valve,2,1,3400,1.73,5,0.393
EQUIP_0078,Sanitization Line 5,Product Screener,Transfer Blower,5,0,4349,1.47,5,0.544
EQUIP_0079,Sanitization Line 5,Super Heater,Steam Circulation Blower 1,13,5,7512,3.89,9,1
EQUIP_0080,Sanitization Line 5,Super Heater,Steam Circulation Blower 2,1,0,5991,3.13,13,0.706

